artist,album,track,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
The Front Bottoms,Going Grey,Far Drive,195,35.28,75.04,96.61,82.29,195,6.15,94.87,78.97,52.82,13.33,9.23,3.59,0,5.64,0,0,4.1,7.69,5.13,0,12.31,6.67,6.15,12.31,0.51,13.33,8.21,13.33,0,0,0,0,8.72,4.1,4.62,1.03,0.51,1.03,0.51,1.54,0.51,0.51,7.69,5.64,1.54,4.62,3.08,1.54,0.51,0.51,0,0.51,8.72,3.08,0,0.51,0,0,1.54,5.64,0,0,0,0,1.03,0,0,1.03,2.56,0,0,0,2.05,0.51,4.1,2.56,0,0,0,0,0,0.51,0,0,0.51,1.54,0,0,0,0,0,0,12.82,22.56,0.51,4.1,15.9,2.05,0,0.51,4.1,2.05,3.59,1.03,1.03,0.51,0.51,0,0,9.23,0,3.59,0,0,2.56,3.08,0
The Front Bottoms,Going Grey,Grand Finale,193,57.73,77.72,99,14.55,193,9.84,93.26,64.77,49.74,20.73,15.54,8.29,3.63,3.63,0,0,5.18,13.99,6.22,0.52,16.06,6.74,4.15,4.15,0.52,11.92,10.36,3.63,4.15,4.15,0,0,6.74,0.52,6.22,4.15,0.52,0.52,0.52,0,0.52,0,9.33,4.15,4.66,3.11,0.52,2.07,0,0,0,0,11.92,3.11,0.52,0,0,0,2.59,8.81,0,0,0,1.55,2.59,0,0,2.59,3.11,0,2.59,0,0.52,0,7.25,0.52,0,0,0,2.59,0,2.59,1.55,1.55,0.52,0.52,2.59,0,0.52,0,0,1.04,5.18,16.58,0,2.07,12.95,0.52,0,1.55,12.95,0.52,6.74,1.04,0.52,0.52,0,0,0,11.92,0,4.66,0,0,6.74,0.52,0
The Front Bottoms,Going Grey,Ocean,247,14.06,13.45,96.8,1,41.17,5.67,91.5,81.38,68.02,22.27,18.22,12.55,0,5.67,0,0,4.05,10.12,7.29,0,16.6,16.6,7.69,6.48,1.62,25.91,4.05,0.4,0.81,0,0,0.81,10.93,1.62,9.31,0.81,1.21,2.02,2.43,0,3.64,0,6.48,0.81,5.67,4.45,0,4.45,4.45,0,0,0,8.91,2.43,0.81,0.81,0,0,0.81,6.48,0,0,0,0.4,0,0,0,0,0.4,0.4,0,0,0,0,6.07,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.02,11.74,0,2.02,9.31,0.81,0,0,2.02,4.45,8.91,0,0.4,0.4,0,0.4,0,15.79,0,4.45,2.02,0,8.1,1.21,0
The Front Bottoms,Going Grey,Peace Sign,221,5.97,71.44,12.44,99,221,9.05,93.21,72.4,50.68,23.98,15.84,2.26,0.45,1.81,10.86,0.45,8.14,9.05,4.07,0,7.24,10.86,5.43,3.62,4.52,22.62,9.95,0,0.45,0.45,0,0,10.86,1.36,9.5,1.81,1.81,2.26,0.9,0,3.62,0.45,9.5,9.05,0.45,3.62,3.17,0.45,0,0,0,0,16.29,2.71,0,0,0,0,1.36,13.57,0,0,8.14,2.71,0,0,0,0,3.17,2.26,0,0,0,0.9,5.88,0.45,0.45,0,0,0,0,0,0,0,0.45,0.9,0,0,0,0,0.45,0.9,7.24,19,0,1.36,10.41,3.62,3.17,0.45,5.43,1.81,8.6,4.98,0.45,0.45,0,0,0,13.57,0,6.33,0,0,6.79,0.45,0
The Front Bottoms,Going Grey,Raining,254,11.1,80.92,99,57.15,12.1,5.91,95.28,91.34,64.17,24.8,17.32,8.27,0,8.27,0,0.39,7.48,13.78,4.33,0,10.63,12.2,8.27,1.97,0.39,30.31,5.51,1.97,0.39,0.39,0,0,27.95,1.57,26.38,22.44,7.87,1.57,0.39,0,1.57,0,2.36,2.36,0,0.79,0.79,0,0,0,0,0,9.84,0.39,0,0,0,0,0.39,9.45,0,0,0,0,0,0,0,0,0.39,0,0.39,0,0,0,1.57,0.79,0.79,0,0,0,0,0,0,0,0,1.18,0,0,0,0,0,0,4.72,13.39,0,1.57,4.33,0.39,0,7.87,0.39,10.63,0.79,0,4.33,0,3.94,0.39,0,11.81,0,3.15,7.87,0,0.79,0,0
The Front Bottoms,Going Grey,Trampoline,200,2.5,57.93,99,67.48,200,16,95.5,74.5,59,28,23,11,5,7,0,0,5,5.5,3,0,11.5,11.5,3,10.5,4,19,8,0.5,13.5,9,4.5,0,17,0,17,3,1,3.5,4,1,5.5,0,12,7,4,3.5,1.5,1.5,1.5,0,0,0.5,15,3,0,0,0,2,0.5,12,0,0,0,0,0,0,0,0,3.5,0,3,0,0,0.5,1,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,10.5,10.5,0.5,2,8,0.5,0,0,6.5,2,11,0,0,0,0,0,0,20.5,0,8.5,0,0,11,1,0
The Front Bottoms,Going Grey,Vacation Town,268,50.43,11.39,99,55.04,268,15.67,93.66,72.01,55.22,19.03,12.31,9.33,0.37,2.61,0,0,6.72,14.18,8.96,0,12.69,7.84,4.85,4.48,1.87,17.91,5.22,4.48,1.12,0.37,0,0.75,11.57,4.1,7.46,0.75,2.24,1.49,1.12,0,2.61,0,4.1,2.99,0.75,1.49,1.12,0,0,0,0,0.37,10.82,1.49,0,0,0.37,0,0.75,4.85,0,0,0,0,0.75,0,0,0.75,5.6,2.61,2.99,0,0,0,2.61,0.37,0,0,0,0.37,0,0,0,0,1.12,1.49,0,0,0,0,0,0.75,7.46,17.16,0.75,1.49,14.18,1.12,0,0.75,5.6,2.61,3.73,1.12,1.49,0.37,1.12,0,0,12.69,0,5.6,0,0,4.85,2.24,0
The Front Bottoms,Going Grey,You Used to Say (Holy Fuck),132,51.97,23.94,91.71,42.71,44,6.82,96.21,90.15,62.12,18.94,15.15,9.09,0,6.06,0,0,3.79,9.09,3.03,0,24.24,15.15,6.82,0,2.27,34.85,8.33,0.76,0,0,0,0,15.15,2.27,12.88,6.82,6.06,3.03,0,0,0,0,11.36,4.55,3.03,2.27,0,2.27,0,2.27,0,3.79,11.36,5.3,0,0,0,0.76,4.55,6.06,0,0,0,0,0,0,0,0,4.55,0,0,0.76,0,3.79,4.55,0,0,0,0,0,0,0,3.79,0,0,1.52,0,0,0,0,0,0,2.27,12.88,0,3.03,9.09,0.76,0,0,0.76,3.03,6.82,7.58,0,0,0,0,0,15.91,0,8.33,1.52,0,4.55,1.52,0
The Front Bottoms,Needy When I'm Needy,Joanie,331,1,3.28,96.04,97.79,165.5,5.74,93.05,82.78,63.44,24.77,19.94,14.5,0.3,5.14,0,0,4.83,11.18,2.72,1.21,7.25,11.78,9.67,9.67,1.51,21.15,12.39,3.32,1.51,0.91,0,0.6,17.82,1.51,16.01,3.02,0.6,4.53,5.14,0,5.74,0,8.76,7.55,0.91,0.91,0.6,0.3,0,0.3,0,0.3,9.97,3.93,0.3,0,0,1.81,0.3,6.04,0.3,0,0,0.3,0,0,0,0,0.91,0,0,0,0.91,0,6.65,0.3,0,0,0,0,0,5.14,0,0,0,1.21,0,0.3,0.6,0,0,0,12.08,10.88,0.3,0.91,3.32,0.3,0,1.21,4.83,0.91,4.53,1.21,1.21,0,0.6,0.6,0,11.18,0,4.53,0.3,0,5.14,1.21,0
The Front Bottoms,Needy When I'm Needy,Tighten Up,318,2.94,3.51,83.95,1,318,4.09,96.54,83.65,62.58,25.79,20.13,8.81,0.63,3.77,3.77,2.83,5.66,13.52,2.83,0.63,12.26,10.69,2.2,5.03,12.89,22.33,9.43,2.52,2.2,1.26,0,0.94,21.38,3.77,17.3,7.55,1.57,0.63,4.72,0.31,5.66,0,10.69,0.31,10.38,10.06,0.31,9.75,0,0,0,0,15.09,2.83,0.31,0.63,0.31,0.31,0.94,12.58,0,0,0,4.09,0,0,0,0,1.57,0,0,0,0.94,0.63,3.14,0.63,0.31,0,0,0.31,0,0,0.31,0.63,0,0.31,0,0,0.63,0,0.31,0,14.15,12.26,0,0.63,1.89,0.94,0.31,8.49,3.46,1.26,13.84,4.4,0.94,0.63,0,0.31,0,16.98,0,5.97,0,0,11.01,0,0
